,Building_name,Ad-hoc building key,Nature of Use,Gross Area,Uniform Building Code,Model Building Type,Building Height,Building Age,CAAN,Region,longitude,latitude
1,Barrows Hall,Barrows Hall,Academic Hall,193202.0,1.0,C2M ,112.0,52.0,1761,Central,-122.257969323,37.8700849889
2,Birge Hall,Birge Hall,Academic Hall,94175.0,1.0,C2M ,84.0,52.0,1220,Central,-122.257254332,37.8721804232
3,Chavez Center,Cesar E. Chavez Student Center,Student Services,104016.0,1.0,C1L ,42.0,56.0,1784,Central,-122.260175832,37.8697323511
4,Davis Hall,Davis Hall,Academic Hall,137806.0,1.0,C2M ,97.0,50.0,1323,Central,-122.25830727,37.8744998985
5,Doe Memorial Library,Doe Memorial Library,Library,166514.0,3.0,C3M ,70.0,99.0,1301,Central,-122.259479633,37.8721796341
6,Donner Lab,Donner Laboratory,Laboratory,53234.0,3.0,C1M ,52.0,74.0,1419,Central,-122.25647277,37.874547489499996
7,East_Asian_2019.csv,Starr East Asian Library,Library,65860.0,1.0,S2L ,78.0,9.0,1150,Central,-122.260356565,37.8735546884
8,Eshleman Hall,Eshleman Hall,Academic Hall,66203.0,1.0,C2M ,87.0,1.0,1798,Central,-122.26021719,37.8687498304
9,Etcheverry Hall,Etcheverry Hall,Academic Hall,177281.0,1.0,C3M ,72.0,52.0,1783,Perimter,-122.25926257,37.8756854469
10,Evans Hall,Evans Hall,Academic Hall,270413.0,1.0,C1M ,156.0,45.0,1790,Central,-122.257860405,37.8736029671
12,Greek Theater,Hearst Greek Theater,Student Services,11910.0,1.0,C2L ,48.0,113.0,1359,Perimter,-122.254462288,37.873562903
13,Hargrove Music Library,Hargrove Music Library,Library,29063.0,1.0,S2L ,54.0,12.0,1424,Central,-122.25612095299999,37.870445840100004
14,Hearst Field Annex,Hearst Field Annex,Sports,34825.0,1.0,S3 ,25.0,17.0,1097,Central,-122.25773060200001,37.8691120303
15,Hearst Gym,Hearst Memorial Gymnasium,Sports,124197.0,1.0,C2L ,48.0,89.0,1372,Central,-122.25688539,37.8695468377
16,Hesse Hall,Hesse Hall,Academic Hall,41363.0,1.0,C1M ,34.0,92.0,1375,Central,-122.25935140600001,37.874305153200005
17,Koshland Hall,Koshland Hall,Academic Hall,153700.0,1.0,C2M ,94.0,27.0,1796,Central,-122.26486035,37.8739290558
18,Latimer Hall,Latimer Hall,Academic Hall,182943.0,1.0,C1M ,114.0,53.0,1782,Central,-122.255878222,37.8731255273
19,Le Conte Annex Electric 2018,Le Conte Hall,Academic Hall,148032.0,1.0,C2M ,79.0,92.0,1405,Central,-122.257153305,37.8725774911
20,Li Ka,Li Ka Shing Center,Academic Hall,220703.0,1.0,S1M ,153.0,5.0,1444,Central,-122.26529856799999,37.8729867591
21,MLK,"MLK, Jr. Student Union",Academic Hall,146399.0,1.0,C1M ,80.0,55.0,1791,Central,-122.25962363,37.8691289117
22,Moffitt Library,Moffitt Undergraduate Library,Library,130581.0,1.0,C2M ,75.0,46.0,1299,Central,-122.260792459,37.8725677024
23,Morrison Hall,Morrison Hall,Academic Hall,40706.0,1.0,C2L ,45.0,58.0,1422,Central,-122.256476117,37.8708666667
24,Moses Hall,Moses Hall,Academic Hall,40835.0,1.0,C2L ,47.0,85.0,1324,Central,-122.258099317,37.870951203400004
25,North Gate Hall,North Gate Hall,Academic Hall,23533.0,5.0,W2 ,30.0,110.0,1206,Central,-122.259608735,37.8749125902
26,O_Brien Hall,O'Brien Hall,Academic Hall,41297.0,1.0,C1M ,61.0,57.0,1377,Central,-122.25904828600001,37.8742729162
27,Pimentel Hall,Pimentel Hall,Academic Hall,14524.0,1.0,S4L ,21.0,52.0,1801,Central,-122.256030217,37.8734033732
28,Soda Hall,Soda Hall,Academic Hall,109588.0,1.0,S1M ,67.0,22.0,1237,Perimter,-122.258724343,37.8756752891
29,Sproul Hall,Sproul Hall,Academic Hall,110919.0,1.0,S4M ,77.0,75.0,1210,Central,-122.258751062,37.869582162
30,Stephens Hall,Stephens Hall,Academic Hall,58733.0,1.0,C2L ,87.0,93.0,1488,Central,-122.257547229,37.8712913671
31,Sutardja Dai Hall,Sutardja Dai Hall,Academic Hall,154706.0,1.0,S2M ,100.0,8.0,1152,Central,-122.258381987,37.8748421159
32,Tang Center,Tang Center,Student Services,75228.0,1.0,S4L ,40.0,24.0,1286,Perimter,-122.26427015200001,37.8675860927
33,Wellman Hall,Wellman Hall,Academic Hall,43910.0,1.0,S4L ,64.0,104.0,1202,Central,-122.26274023200001,37.8731129806
35,Zellerbach Hall,Zellerbach Hall,Academic Hall,153118.0,5.0,C2M ,105.0,48.0,1802,Central,-122.26093315799999,37.8690885762
