,Building_name,Ad-hoc building key,Nature of Use,Gross Area,Uniform Building Code,Model Building Type,Building Height,Building Age,Region,longitude,latitude,Occupancy
0,Barrows Hall,Barrows Hall,Academic Hall,193202.0,1.0,C2M ,112.0,52.0,Central,-122.257969323,37.8700849889,968
1,Birge Hall,Birge Hall,Academic Hall,94175.0,1.0,C2M ,84.0,52.0,Central,-122.257254332,37.8721804232,2
2,Chavez Center,Cesar E. Chavez Student Center,Student Services,104016.0,1.0,C1L ,42.0,56.0,Central,-122.260175832,37.8697323511,1639
3,Davis Hall,Davis Hall,Academic Hall,137806.0,1.0,C2M ,97.0,50.0,Central,-122.25830727,37.8744998985,489
4,Doe Memorial Library,Doe Memorial Library,Library,166514.0,3.0,C3M ,70.0,99.0,Central,-122.259479633,37.8721796341,1343
5,Donner Lab,Donner Laboratory,Laboratory,53234.0,3.0,C1M ,52.0,74.0,Central,-122.25647277,37.874547489499996,28
6,Etcheverry Hall,Etcheverry Hall,Academic Hall,177281.0,1.0,C3M ,72.0,52.0,Perimter,-122.25926257,37.8756854469,665
7,Evans Hall,Evans Hall,Academic Hall,270413.0,1.0,C1M ,156.0,45.0,Central,-122.257860405,37.8736029671,1332
8,Hearst Field Annex,Hearst Field Annex,Sports,34825.0,1.0,S3 ,25.0,17.0,Central,-122.25773060200001,37.8691120303,255
9,Hearst Gym,Hearst Memorial Gymnasium,Sports,124197.0,1.0,C2L ,48.0,89.0,Central,-122.25688539,37.8695468377,153
10,Hesse Hall,Hesse Hall,Academic Hall,41363.0,1.0,C1M ,34.0,92.0,Central,-122.25935140600001,37.874305153200005,6
11,Koshland Hall,Koshland Hall,Academic Hall,153700.0,1.0,C2M ,94.0,27.0,Central,-122.26486035,37.8739290558,318
12,Latimer Hall,Latimer Hall,Academic Hall,182943.0,1.0,C1M ,114.0,53.0,Central,-122.255878222,37.8731255273,810
13,MLK,"MLK, Jr. Student Union",Academic Hall,146399.0,1.0,C1M ,80.0,55.0,Central,-122.25962363,37.8691289117,19
14,Moffitt Library,Moffitt Undergraduate Library,Library,130581.0,1.0,C2M ,75.0,46.0,Central,-122.260792459,37.8725677024,1
15,Morrison Hall,Morrison Hall,Academic Hall,40706.0,1.0,C2L ,45.0,58.0,Central,-122.256476117,37.8708666667,219
16,Moses Hall,Moses Hall,Academic Hall,40835.0,1.0,C2L ,47.0,85.0,Central,-122.258099317,37.870951203400004,234
17,North Gate Hall,North Gate Hall,Academic Hall,23533.0,5.0,W2 ,30.0,110.0,Central,-122.259608735,37.8749125902,175
18,O_Brien Hall,O'Brien Hall,Academic Hall,41297.0,1.0,C1M ,61.0,57.0,Central,-122.25904828600001,37.8742729162,10
19,Soda Hall,Soda Hall,Academic Hall,109588.0,1.0,S1M ,67.0,22.0,Perimter,-122.258724343,37.8756752891,1621
20,Sproul Hall,Sproul Hall,Academic Hall,110919.0,1.0,S4M ,77.0,75.0,Central,-122.258751062,37.869582162,1504
21,Stephens Hall,Stephens Hall,Academic Hall,58733.0,1.0,C2L ,87.0,93.0,Central,-122.257547229,37.8712913671,164
22,Sutardja Dai Hall,Sutardja Dai Hall,Academic Hall,154706.0,1.0,S2M ,100.0,8.0,Central,-122.258381987,37.8748421159,125
23,Tang Center,Tang Center,Student Services,75228.0,1.0,S4L ,40.0,24.0,Perimter,-122.26427015200001,37.8675860927,417
24,Wellman Hall,Wellman Hall,Academic Hall,43910.0,1.0,S4L ,64.0,104.0,Central,-122.26274023200001,37.8731129806,95
25,Zellerbach Hall,Zellerbach Hall,Academic Hall,153118.0,5.0,C2M ,105.0,48.0,Central,-122.26093315799999,37.8690885762,299
